,source,author,title,description,url,urlToImage,publishedAt,content,article_text
0,"{'id': 'reuters', 'name': 'Reuters'}",,Tesla considering lithium refinery in Texas - Reuters.com,"Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> is considering setting up a lithium refinery on the gulf coast of Texas, as it looks to secure supply of the key component used in batteries amid surging demand for elec…",https://www.reuters.com/technology/tesla-considering-lithium-refinery-texas-2022-09-09/,https://www.reuters.com/resizer/LmLK9_BUSwhgIdkMy09mUROBc-s=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DAI3EOCMDBICXCN7OJU566M3SE.jpg,2022-09-09T05:19:00Z,"Sept 9 (Reuters) - Tesla Inc (TSLA.O) is considering setting up a lithium refinery on the gulf coast of Texas, as it looks to secure supply of the key component used in batteries amid surging demand … [+1576 chars]","The TESLA logo is seen outside a dealership in the Brooklyn borough of New York City, U.S., April 26, 2021. REUTERS/Shannon Stapleton

Sept 9 (Reuters) - Tesla Inc (TSLA.O) is considering setting up a lithium refinery on the gulf coast of Texas, as it looks to secure supply of the key component used in batteries amid surging demand for electric vehicles.

The potential battery-grade lithium hydroxide refining facility, which Tesla touted as the first of its kind in North America, will process ""raw ore material into a usable state for battery production"", the company said in an application filed with the Texas Comptroller's Office.

A decision to invest in Texas will also be based on the ability to obtain relief on local property taxes, Tesla said.

Register now for FREE unlimited access to Reuters.com Register

Chief Executive Officer Elon Musk has previously said that Tesla may have to enter the mining and refining industry directly at scale as lithium prices surge.

Musk has also been vocal about the need for more players in the lithium refining industry. ""You can't lose. It's licensed to print money,"" he had said at the company's second-quarter earnings call.

Securing a steady supply of battery components is seen critical for Tesla as it faces fierce competition in the fast-growing market for electric cars.

If approved, construction could begin in the fourth quarter of 2022 and would reach commercial production by the end of 2024, Tesla said in the application dated Aug. 22.

Under the plan, Tesla will ship the final product from the refinery by trucks and rail to various Tesla battery manufacturing sites supporting the supply chain for large-scale and electric vehicle batteries.

Tesla, whose shares rose 1.4% in premarket trading, also said it would use less hazardous reagents and create usable byproducts, compared with the conventional process.

LITHIUM SCRAMBLE

Lithium prices have skyrocketed this year due to surging demand from the auto sector. China remains the world's largest lithium processor, though proposed rival projects in the United States and European Union have faced a range of setbacks. read more

If Tesla's plan goes ahead, the carmaker could become the first in the sector to invest directly in lithium refining as automakers scramble to stitch up deals with miners and refiners.

""Car-makers are trying to ensure they have control over the supply of lithium, hedging for any geopolitical situation that might arise in future where the supply is disrupted,"" said Arpit Agarwal, director at venture capital firm Blume Ventures, which has backed EV startups such as Euler Motors and Yulu.

Tesla also stands to gain from lower logistics costs as well as incentives it may get from the U.S. government, he added.

Battery makers are also looking to increase production in the United States, where a shift toward EVs could increase as the country implements stricter regulation and tightens tax credit eligibility.

Tesla itself signed a five-year supply deal with Australia's Liontown Resources (LTR.AX) earlier this year, while rival EV makers Stellantis (STLA.MI) and Byd have invested in miners around the world.

CATL, the world's biggest battery maker, has also taken stakes in lithium miners.

Register now for FREE unlimited access to Reuters.com Register

Reporting by Jaiveer Singh Shekhawat, Maria Ponnezhath and Yuvraj Malik in Bengaluru; Editing by Saumyadeb Chakrabarty and Anil D'Silva

Our Standards: The Thomson Reuters Trust Principles."
1,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Tesla weighs China sales reset - Reuters,"Tesla is reevaluating the way it sells electric cars in China, its second-largest market, and considering closing some showrooms in flashy malls in cities like Beijing where traffic plunged during COVID restrictions, two people with knowledge of the plans sai…",https://www.reuters.com/video/watch/idOV554115092022RP1,https://static.reuters.com/resources/r/?d=20220915&i=OV554115092022RP1&r=OV554115092022RP1&t=2,2022-09-15T14:00:04Z,"Posted 
Tesla is reevaluating the way it sells electric cars in China, its second-largest market, and considering closing some showrooms in flashy malls in cities like Beijing where traffic plunged … [+95 chars]","Business

Tesla weighs China sales reset

Posted

Tesla is reevaluating the way it sells electric cars in China, its second-largest market, and considering closing some showrooms in flashy malls in cities like Beijing where traffic plunged during COVID restrictions, two people with knowledge of the plans said. Francis Maguire reports."
2,"{'id': 'reuters', 'name': 'Reuters'}",,"A squadron of electric Jeeps goes after Rivian, Tesla - Reuters.com","Jeep will launch four all-electric sport utility vehicles by the end of 2025 in a bid to lead in electrification of off-road vehicles, the company announced on Thursday, despite the Stellantis NV <a href=""https://www.reuters.com/companies/STLA.MI"" target=""_bl…",https://www.reuters.com/business/autos-transportation/squadron-electric-jeeps-goes-after-rivian-tesla-2022-09-08/,https://www.reuters.com/resizer/DaBM-QbH0-0y6RXSDewrqgObZpI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JGPJPPRP45NYDBV7WXOHGHIZUM.jpg,2022-09-08T12:03:00Z,"MILAN/DETROIT, Sept 8 (Reuters) - Jeep will launch four all-electric sport utility vehicles by the end of 2025 in a bid to lead in electrification of off-road vehicles, the company announced on Thurs… [+2309 chars]","A Jeep logo is seen on a car at a showroom of a dealership in Merignac, near Bordeaux, France, April 8, 2019. REUTERS/Regis Duvignau

MILAN/DETROIT, Sept 8 (Reuters) - Jeep will launch four all-electric sport utility vehicles by the end of 2025 in a bid to lead in electrification of off-road vehicles, the company announced on Thursday, despite the Stellantis NV (STLA.MI) brand's late start.

Jeep brand executives previewed an all-electric Jeep Recon, inspired by the brand's petroleum-fueled Wrangler adventure vehicle, a Wagoneer S that will be a battery-electric companion to the brand's Grand Cherokee or Wagoneer family vehicles. They also previewed a small Jeep Avenger EV aimed at Europeans.

Jeep brand chief Christian Meunier said future electric Jeep models - including some not identified in presentations to reporters on Wednesday - will help Jeep meet challenges from other electric vehicle brands.

Register now for FREE unlimited access to Reuters.com Register

Rivian and Scout, as well as General Motors Co's reborn Hummer brand, are pitching their electric SUVs to would-be buyers with many of the same appeals to outdoor adventure and all-weather capability that Jeep has traded on for decades. Tesla's Model X and Model Y SUVs compete with Jeep for customers who like multi-purpose utility.

Meunier said the electric Recon and Wagoneer models, due to go on sale in 2024, and the European Avenger, scheduled to go on sale early 2023, should help the brand grow.

""We are not done with growth, but we want to do it in the right way,"" Meunier said, adding he could not provide volume projections for coming years.

Jeep is now aiming to have 50% of its U.S. sales and 100% of its European sales to be of fully electric vehicles by 2030, Meunier said.

Meunier said Jeep intends to offer its electric models in China, but he did not give specific plans. Stellantis in July said it would revamp its strategy for Jeep in China, ending a joint venture with Chinese automaker GAC and shifting toward an imported lineup.

In Europe, Jeep wants to use the Avenger to expand its share of the compact SUV segment, where it already offers the Renegade model, said Antonella Bruno, the brand's chief for Europe.

""The Avenger will target younger and more feminine customers,"" Bruno said.

Italy is currently Jeep's largest market in Europe, accounting for 50% of its sales in the region and the brand hopes to grow to Germany, France and the UK.

Register now for FREE unlimited access to Reuters.com Register

Reporting by Giulio Piovaccari and Joe White; Editing by Josie Kao

Our Standards: The Thomson Reuters Trust Principles."
3,"{'id': 'reuters', 'name': 'Reuters'}",,German authority's probe finds 'abnormalities' in Tesla autopilot - WirtschaftsWoche - Reuters,"Germany's federal motor transport authority KBA has found ""abnormalities"" during its investigation focused on Tesla's autopilot function, reported WirtschaftsWoche business weekly, citing a KBA spokesperson.",https://www.reuters.com/business/autos-transportation/german-authoritys-probe-finds-abnormalities-tesla-autopilot-wirtschaftswoche-2022-09-09/,https://www.reuters.com/resizer/VMst5-F-Gx08efF4ja-8HLkbRCc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NPX2RXUT75MXZJZWSGVJWJR3YI.jpg,2022-09-09T11:26:00Z,"BERLIN, Sept 9 (Reuters) - Germany's federal motor transport authority KBA has found ""abnormalities"" during its investigation focused on Tesla's autopilot function, reported WirtschaftsWoche business… [+502 chars]","Register now for FREE unlimited access to Reuters.com Register

The logo of car manufacturer Tesla is seen at a branch office in Bern, Switzerland October 28, 2020. REUTERS/Arnd Wiegmann

BERLIN, Sept 9 (Reuters) - Germany's federal motor transport authority KBA has found ""abnormalities"" during its investigation focused on Tesla's autopilot function, reported WirtschaftsWoche business weekly, citing a KBA spokesperson.

While some of the problems found during the investigation, which has been running since the start of the year, have meanwhile been remedied, there are some outstanding ones where ""further remedial measures are still being tested and secured,"" said the spokesperson, according to WirtschaftsWoche.

Register now for FREE unlimited access to Reuters.com Register

Writing by Miranda Murray, editing by Rachel More

Our Standards: The Thomson Reuters Trust Principles."
4,"{'id': 'reuters', 'name': 'Reuters'}",,Tesla will face California agency's race bias case - Reuters,A California civil rights agency's lawsuit accusing Tesla Inc of widespread discrimination and harassment against Black workers at its Fremont assembly plant will proceed after a state judge denied the electric car maker's bid to toss the case.,https://www.reuters.com/legal/litigation/tesla-will-face-california-agencys-race-bias-case-2022-08-30/,https://www.reuters.com/resizer/M6_LYjGw5jm9Ehv6bwFWpj-qs1c=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/32RYOOFCFNJTLL5JBSOQRNLUFQ.jpg,2022-08-30T22:00:00Z,"<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
(Reuters) - A California civil rights agency's lawsuit accusing Tesla Inc of widespread discrimination and harassment agai… [+2601 chars]","A view of Tesla Inc's U.S. vehicle factory in Fremont, California, U.S., March 18, 2020. REUTERS/Shannon Stapleton

Summary

Summary Law firms

Law firms Related documents Decision finalizes earlier ruling against company

State claims company had racially segregated workplace marked by harassment and pay disparities

(Reuters) - A California civil rights agency's lawsuit accusing Tesla Inc of widespread discrimination and harassment against Black workers at its Fremont assembly plant will proceed after a state judge denied the electric car maker's bid to toss the case.

California Superior Court Judge Evelio Grillo in Oakland on Friday rejected the company's argument that the case was improperly broad, and that the state's Civil Rights Department failed to notify it of the claims or give it a chance to settle before suing.

In the February lawsuit, the agency described Tesla's flagship Fremont plant as a racially segregated workplace where Black employees were harassed and discriminated against in terms of job assignments, discipline and pay.

Register now for FREE unlimited access to Reuters.com Register

The agency said Black workers were assigned difficult, menial jobs in racially segregated areas of the factory known as ""the dark side,"" were less likely to be promoted to management positions and were subjected to racial slurs on a daily basis.

Tesla has denied wrongdoing.

Grillo's Friday ruling finalized a tentative ruling he had issued against the company on Aug. 24.

Spokespeople for the state and for Tesla's lawyers declined to comment.

In its motion to dismiss the case, Tesla argued that the agency's lawsuit made so many claims, involving so many employees, that it would not be legally practical for a court to address the matter in a single case.

Tesla is also facing a series of race and sex discrimination lawsuits brought by employees themselves, mostly involving the Fremont plant.

In one of those cases, a federal judge in April cut a jury verdict for a Black worker who alleged racial harassment from $137 million to $15 million. The plaintiff rejected the reduced award and opted for a new trial, which is scheduled for next March.

While the allegations in the Civil Rights Department's lawsuit are similar to those in other pending cases, it will likely cover many more workers because the agency is not bound by employment agreements that most Tesla employees signed requiring them to arbitrate legal claims.

Tesla's chief executive is Elon Musk, the world's richest person.

The case is Department of Fair Employment and Housing v. Tesla Inc, Superior Court of California, County of Alameda, No. 22-CV-006830.

For California: Alexis McKenna of the Civil Rights Department

For Tesla: Tina Tellado of Holland & Knight

Read more:

California sues Tesla over Black workers' allegations of discrimination

Tesla likely must face California agency's race bias lawsuit

Register now for FREE unlimited access to Reuters.com Register

Our Standards: The Thomson Reuters Trust Principles."
5,"{'id': 'reuters', 'name': 'Reuters'}",,Tesla says California should toughen EV requirements - Reuters,The California Air Resources Board (CARB) is set to vote on Thursday to approve regulations that would require all new vehicles sold in the state by 2035 to be either electric or plug-in electric hybrids that could also have gasoline engines.,https://www.reuters.com/business/autos-transportation/tesla-says-california-should-toughen-ev-requirements-2022-08-25/,https://www.reuters.com/resizer/cfSJWANizKNupKHseyeTsPwz-cI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UCSF6LXJKVM6BJBTWDPOARBVLE.jpg,2022-08-25T16:03:00Z,Aug 25 (Reuters) - The California Air Resources Board (CARB) is set to vote on Thursday to approve regulations that would require all new vehicles sold in the state by 2035 to be either electric or p… [+2781 chars],"Aug 25 (Reuters) - California on Thursday moved to require all new vehicles sold in the state by 2035 to be either electric or plug-in electric hybrids, a landmark move that could speed the end of gasoline-powered vehicles.

California Governor Gavin Newsom first announced the plan to phase out vehicles that run only on gasoline by 2035 in September 2020. The California Air Resources Board voted on Thursday to approve the new rules, which set yearly rising zero- emission vehicle rules starting in 2026, but the Biden administration must still approve the new requirements before the plan can take effect.

California has moved faster than the federal government and other states in setting strict standards for vehicle emissions. More than a dozen other states have adopted California's earlier zero-emission requirements.

Register now for FREE unlimited access to Reuters.com Register

""This is a historic moment for California, for our partner states and for the world as we set forth a path toward a zero emission future,"" said CARB Chair Liane Randolph.

California officials said the rules by 2037 will cut by 25% smog-causing pollution from light-duty vehicles. The rules mandate that 35% of the new cars sold be plug-in hybrid electric (PHEV), EVs or hydrogen fuel cell by 2026. That proportion will rise to 68% by 2030 and 100% by 2035.

By 2030, there will be 2.9 million fewer new gas-powered vehicles sold, widening to 9.5 million fewer conventional vehicles by 2035, CARB said.

Steve Douglas, a vice president at the Alliance for Automotive Innovation, a trade association representing General Motors Co (GM.N), Volkswagen AG (VOWG_p.DE), Toyota Motor Corp (7203.T) and other automakers, said on Thursday the CARB rules ""are the most sweeping and transformative regulations in the history of the automobile.""

Electric car maker Tesla Inc (TSLA.O) called for a faster route to all-electric sales, but the auto group said the regulations will be ""extremely challenging even in California and particularly in the early years.""

California is ahead of federal vehicle emissions rules, which currently extend only to 2026 and do not set yearly requirements for zero-emission models.

1/3 A view of cars on the road during rush hour traffic jam, while California's government authorities are expected to put into effect a plan to prohibit the sale of new gasoline-powered cars by 2035, according to local media, in San Francisco, California, U.S. August 24, 2022. REUTERS/Carlos Barria Read More

CARB's new regulation would allow automakers to sell up to 20% PHEVs by 2035. That may boost Toyota, which is investing heavily in plug-ins, and which agreed earlier this week to recognize California's authority to set vehicle rules.

Tesla, which produces only electric vehicles, said in a July 26 filing to CARB that the board should require 100% zero-emission vehicles by 2030 and increase the stringency of the standard by ""reducing the use of polluting PHEVs in annual compliance."" It also sought changes on battery and charging cord requirements.

Tesla Senior Counsel Joseph Mendelson said on Thursday the CARB proposal ""is both achievable and paves the way for California to lead in electrifying the light duty sector.""

CARB's proposal sets tough new requirements for plug-in hybrids, which currently must have at least 10 miles (16.1 km)all-electric range and will eventually need a minimum 50-mile all-electric range label to qualify.

CARB projects that 183,000 out of about 2 million vehicles sold in California in 2035 will be plug-in hybrid.

The American Fuel & Petrochemical Manufacturers trade association on Thursday urged President Joe Biden and the Environmental Protection Agency to ""reject California’s request for a Clean Air Act waiver to proceed with this unlawful ban.""

The group said federal approval ""would hand over sweeping federal government authority to California regulators, effectively appointing Governor Newsom and CARB as car and truck czars for the entire United States.""

The White House and EPA did not immediately comment. Biden has previously declined to back setting a firm date to phase out gasoline-powered vehicles. The EPA is currently working on the next round of U.S. emissions limits through at least 2030.

Seventeen U.S. states have agreed to adopt California's tailpipe emissions rules and 15 have backed its zero-emission vehicle requirements. A group of 17 other states has challenged the EPA's decision to restore California's authority to set emissions rules that was withdrawn under former president Donald Trump.

Register now for FREE unlimited access to Reuters.com Register

Reporting by David Shepardson in Washington Editing by Frances Kerry and Matthew Lewis

Our Standards: The Thomson Reuters Trust Principles."
6,"{'id': 'reuters', 'name': 'Reuters'}",,"Tesla is sued by drivers over alleged false Autopilot, Full Self-Driving claims - Reuters","Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> was sued on Wednesday in a proposed class action accusing Elon Musk's electric car company of misleading the public by falsely advertising its Autopilot and Full Self-Dr…",https://www.reuters.com/business/autos-transportation/tesla-is-sued-by-drivers-over-alleged-false-autopilot-full-self-driving-claims-2022-09-14/,https://www.reuters.com/resizer/3EhmZkfKtU60qOJBez4ZAl-JuZQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KSCT5NYCZFOHBEKW3X7IYKZN5A.jpg,2022-09-14T19:46:00Z,Sept 14 (Reuters) - Tesla Inc (TSLA.O) was sued on Wednesday in a proposed class action accusing Elon Musk's electric car company of misleading the public by falsely advertising its Autopilot and Ful… [+2489 chars],"Register now for FREE unlimited access to Reuters.com Register

The logo of car manufacturer Tesla is seen at a dealership in London, Britain, May 14, 2021. REUTERS/Matthew Childs/File Photo

Sept 14 (Reuters) - Tesla Inc (TSLA.O) was sued on Wednesday in a proposed class action accusing Elon Musk's electric car company of misleading the public by falsely advertising its Autopilot and Full Self-Driving features.

The complaint accused Tesla and Musk of having since 2016 deceptively advertised the technology as fully functioning or ""just around the corner"" despite knowing that the technology did not work or was nonexistent, and made vehicles unsafe.

Briggs Matsko, the named plaintiff, said Tesla did this to ""generate excitement"" about its vehicles, attract investments, boost sales, avoid bankruptcy, drive up its stock price and become a ""dominant player"" in electric vehicles.

Register now for FREE unlimited access to Reuters.com Register

""Tesla has yet to produce anything even remotely approaching a fully self-driving car,"" Matsko said.

The lawsuit filed in federal court in San Francisco seeks unspecified damages for people who since 2016 bought or leased Tesla vehicles with Autopilot, Enhanced Autopilot and Full Self-Driving features.

Tesla did not immediately respond to requests for comment. It disbanded its media relations department in 2020.

The lawsuit followed complaints filed on July 28 by California's Department of Motor Vehicles accusing Tesla of overstating how well its advanced driver assistance systems (ADAS) worked. read more

Remedies there could include suspending Tesla's license in California, and requiring restitution to drivers.

Tesla has said Autopilot enables vehicles to steer, accelerate and brake within their lanes, while Full Self-Driving lets vehicles obey traffic signals and change lanes.

It has also said both technologies ""require active driver supervision,"" with a ""fully attentive"" driver whose hands are on the wheel, ""and do not make the vehicle autonomous.""

Matsko, of Rancho Murieta, California, said he paid a $5,000 premium for his 2018 Tesla Model X to obtain Enhanced Autopilot.

He also said Tesla drivers who receive software updates ""effectively act as untrained test engineers"" and have found ""myriad problems,"" including that vehicles steer into oncoming traffic, run red lights, and fail to make routine turns.

The National Highway Traffic Safety Administration has since 2016 opened 38 special investigations of Tesla crashes believed to involve ADAS. Nineteen deaths were reported in those crashes.

The case is Matsko v Tesla Inc et al, U.S. District Court, Northern District of California, No. 22-05240.

Register now for FREE unlimited access to Reuters.com Register

Reporting by Jonathan Stempel in New York; editing by Jonathan Oatis

Our Standards: The Thomson Reuters Trust Principles."
7,"{'id': 'reuters', 'name': 'Reuters'}",,"Tesla must tell laid off workers about lawsuit, judge rules - Reuters","Tesla Inc must notify factory workers who were laid off in the last three months of a proposed class action accusing the electric carmaker of failing to give adequate notice before engaging in mass layoffs, a federal magistrate judge has ruled.",https://www.reuters.com/legal/litigation/tesla-must-tell-laid-off-workers-about-lawsuit-judge-rules-2022-09-19/,https://www.reuters.com/resizer/D5nboe7mVNUSVgLfZCU7zJtF_y4=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/M4PDXDQE6ZNPNCDOV4WDL7ZVDU.jpg,2022-09-19T16:19:00Z,"<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
Sept 19 (Reuters) - Tesla Inc must notify factory workers who were laid off in the last three months of a proposed class a… [+3005 chars]","The logo of car manufacturer Tesla is seen at a dealership in London, Britain, May 14, 2021. REUTERS/Matthew Childs

Summary

Summary Law firms

Law firms Related documents Separation pacts could be misleading, judge says

Workers say Tesla flouted law requiring 60 days' notice of layoffs

Judge won't nix agreements signed since lawsuit was filed

Sept 19 (Reuters) - Tesla Inc must notify factory workers who were laid off in the last three months of a proposed class action accusing the electric carmaker of failing to give adequate notice before engaging in mass layoffs, a federal magistrate judge has ruled.

U.S. Magistrate Judge Susan Hightower in Austin, Texas said on Friday that separation agreements Tesla asked workers who were terminated to sign may have been misleading and caused them to waive their rights under the federal law requiring employers with 100 or more employees to give 60 days' notice of layoffs.

Hightower, however, denied a request by the plaintiffs who sued Tesla in June to bar the company from communicating with potential class members and to strike down separation agreements Tesla has procured since the lawsuit was filed, saying it was too broad.

Register now for FREE unlimited access to Reuters.com Register

A representative of Tesla did not immediately respond to a request for comment.

Shannon Liss-Riordan, who represents the plaintiffs, said on Monday that Tesla has been trying to get workers to sign away their right under federal law to 60 days of pay while offering them only a week or two of pay.

Liss-Riordan in an email said Tesla chief executive Elon Musk ""called this case 'trivial,' but the federal court has made clear that Tesla's actions in ignoring the law are anything but trivial.""

The federal Worker Adjustment and Retraining Notification (WARN) Act requires businesses to notify workers of mass layoffs at least 60 days in advance unless they are caused by natural disasters or ""unforeseeable business circumstances.""

The lawsuit by two former Tesla employees accuses the company of violating the WARN Act by abruptly laying off more than 500 workers at its Sparks, Nevada gigafactory as part of a nationwide purge of its workforce.

Tesla has laid off hundreds of employees since June, when Musk in an email told company executives to freeze hiring and cut about 10% of salaried staff. Musk later clarified that he expected Tesla's total workforce to grow in the coming year.

Tesla has moved to dismiss the case, claiming it was merely ""right-sizing"" by firing poorly performing workers and not engaging in layoffs that require advance notice. The company also says workers who lost their jobs signed agreements to bring legal disputes in arbitration rather than court.

The plaintiffs are seeking class action status for all former Tesla employees throughout the United States who were laid off in May or June without advance notice.

The case is Lynch v. Tesla Inc, U.S. District Court for the Western District of Texas, No. 1:22-cv-00597.

For the plaintiffs: Shannon Liss-Riordan of Lichten & Liss-Riordan

For Tesla: Robert Sheeder and Thomas Wallace of Morgan Lewis & Bockius

Read more:

Tesla moves to push lawsuit over mass layoffs out of court

Laid-off Tesla workers file emergency plea, allege small severance pay

Tesla sued by former employees over 'mass layoff'

Register now for FREE unlimited access to Reuters.com Register

Our Standards: The Thomson Reuters Trust Principles."
8,"{'id': 'reuters', 'name': 'Reuters'}",,Tesla seeks to overturn Louisiana ban on direct car sales - Reuters,"Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> has filed a lawsuit to challenge Louisiana's refusal to allow the company to sell vehicles directly to consumers, calling the U.S. state's move protectionist and anti-co…",https://www.reuters.com/legal/tesla-seeks-overturn-louisiana-ban-direct-car-sales-2022-08-30/,https://www.reuters.com/resizer/mfTmdb_7Hkf7_cGPod3yx6SQ1XQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/Z66OFAEBJNMVZGC2NSSXAYYXBY.jpg,2022-08-30T00:16:00Z,"SAN FRANCISCO, Aug 29 (Reuters) - Tesla Inc (TSLA.O) has filed a lawsuit to challenge Louisiana's refusal to allow the company to sell vehicles directly to consumers, calling the U.S. state's move pr… [+1289 chars]","A Tesla logo is seen on a wheel rim during the media day for the Shanghai auto show in Shanghai, China April 16, 2019. REUTERS/Aly Song

Companies Tesla Inc Follow

SAN FRANCISCO, Aug 29 (Reuters) - Tesla Inc (TSLA.O) has filed a lawsuit to challenge Louisiana's refusal to allow the company to sell vehicles directly to consumers, calling the U.S. state's move protectionist and anti-competitive.

The case is the latest battle to reverse direct sales bans in some states against the electric carmaker, which bypassed traditional car dealerships. In those states, consumers have to travel to neighboring states to secure Tesla vehicles.

Tesla claimed Louisiana officials have violated state and federal antitrust laws by barring direct sales since 2017 and trying to restrict the leasing and servicing of its cars in Louisiana.

Register now for FREE unlimited access to Reuters.com Register

""Louisiana consumers' freedom is being unduly restricted by protectionist, anti-competitive and inefficient state regulation,"" according to the lawsuit, which was filed on Friday in the U.S. District Court for the Eastern District of Louisiana.

Tesla accused Louisiana dealers, dealer association and some members of the Motor Vehicle Commission of entering an ""unlawful conspiracy to bar Tesla from doing business in Louisiana.""

In 2016, Tesla also sued Michigan for the state's direct sales ban and reached a settlement in 2020 under which Tesla can have its cars serviced in Michigan through a subsidiary.

Register now for FREE unlimited access to Reuters.com Register

Reporting by Hyunjoo Jin; Editing by Sam Holmes

Our Standards: The Thomson Reuters Trust Principles."
9,"{'id': 'reuters', 'name': 'Reuters'}",,Tesla hit with proposed class action over phantom braking issue - Reuters,"A California owner of a Tesla Model 3 sued the electric vehicle maker in a proposed class action over cars suddenly stopping for non-existent obstacles, calling it a ""frightening and dangerous nightmare,"" according to the lawsuit.",https://www.reuters.com/legal/tesla-hit-with-proposed-class-action-over-phantom-braking-issue-2022-08-29/,https://www.reuters.com/resizer/FsAsv8vpLYRA5NCOjp4p9gGDWmE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/AKFOWASOMZP63B4FROLOZ6PHC4.jpg,2022-08-29T19:14:00Z,"WILMINGTON, Del./SAN FRANCISCO, Aug 29 (Reuters) - A California owner of a Tesla Model 3 sued the electric vehicle maker in a proposed class action over cars suddenly stopping for non-existent obstac… [+1881 chars]","Register now for FREE unlimited access to Reuters.com Register

A Tesla Model 3 vehicle drives on autopilot along the 405 highway in Westminster, California, U.S., March 16, 2022. REUTERS/Mike Blake

WILMINGTON, Del./SAN FRANCISCO, Aug 29 (Reuters) - A California owner of a Tesla Model 3 sued the electric vehicle maker in a proposed class action over cars suddenly stopping for non-existent obstacles, calling it a ""frightening and dangerous nightmare,"" according to the lawsuit.

Tesla has rushed its autonomous driving cars to market with unsafe technology, including its driver assistant system which the company calls Autopilot or Full Self-Driving, and its emergency braking system, according to the lawsuit by Jose Alvarez Toledo of San Francisco.

This adds to growing public and regulatory scrutiny of Tesla's driver assistant technology, despite Tesla CEO Elon Musk promising full self-driving by this year-end. read more

Register now for FREE unlimited access to Reuters.com Register

""When the sudden unintended braking defect occurs, they turn what is supposed to be a safety feature into a frightening and dangerous nightmare,"" said Toledo's lawsuit, which was filed on Friday in federal court in the northern district of California.

The lawsuit seeks class action status for all U.S. owners or leasors of a Tesla that suffers from the sudden unintended braking defect.

Tesla did not immediately respond to Reuters' request for comments.

In February, the National Highway Traffic Safety Administration (NHTSA) opened an investigation into 416,000 Tesla vehicles over reports of unexpected brake activation tied to Autopilot. read more

The lawsuit accused Tesla of fraudulently hiding the safety risks associated with Autopilot, breaching its warranties, unfairly profiting from Autopilot and violating California's unfair competition law.

The lawsuit seeks compensatory and punitive damages for expenses to repair vehicles, diminished value of Tesla cars and for a refund of the added cost attributed to the Autopilot feature, according to the lawsuit.

Register now for FREE unlimited access to Reuters.com Register

Reporting by Tom Hals in Wilmington, Delaware, and Hyunjoo Jin in San Francisco; Editing by Sandra Maler

Our Standards: The Thomson Reuters Trust Principles."
